30cm_Ruler_m 30cm_Unc_m 2m_Ruler_m 2m_Unc_m
-------------------------------------------
3.369 0.033 3.361 0.006
3.362 0.010 3.364 0.005
3.360 0.100 3.373 0.010
3.364 0.002 3.364 0.002
3.352 0.100 3.361 0.020
3.364 0.048 3.365 0.009
3.635 0.100 3.342 0.020
3.367 0.010 2.364 0.001
3.545 0.005 3.378 0.015
3.651 0.030 3.372 0.005
3.231 0.100 3.359 0.010
3.550 0.100 3.330 0.010
1.355 0.030 1.365 0.020
3.306 0.009 3.359 0.002
3.364 0.015 3.372 0.005
3.362 0.010 3.363 0.005
3.362 0.010 3.362 0.005
3.039 0.035 3.136 0.025
3.062 0.021 3.375 0.050
3.371 0.015 3.361 0.005
3.351 0.030 3.354 0.004
3.671 0.125 3.450 0.100
3.368 0.050 3.364 0.030
3.370 0.025 3.361 0.005
3.365 0.005 3.360 0.005
3.364 0.001 3.362 0.001
3.371 0.040 3.365 0.015
3.367 0.001 3.364 0.001
3.355 0.002 3.362 0.001
3.359 0.001 3.365 0.001
3.357 0.050 3.365 0.010
3.363 -1    3.364 -1
3.355 0.018 3.365 0.002
3.387 0.015 3.359 0.010
3.362 0.005 3.362 0.010
3.371 0.010 3.367 0.005
3.355 0.005 3.363 0.010
3.374 0.012 3.369 0.005
3.374 0.030 3.365 0.005
3.396 0.022 3.357 0.008
3.693 0.004 3.645 0.006
3.352 0.010 3.549 0.005
3.373 0.005 3.365 0.005
3.358 0.005 3.350 0.010
3.360 0.050 3.350 0.010
3.671 0.005 3.364 0.002
3.084 0.050 3.376 0.015
3.360 0.120 3.375 0.005
3.375 0.020 3.367 0.005
1.363 0.013 1.364 0.010
3.367 0.010 3.363 0.005
3.367 0.010 3.363 0.010
